agent,area_sqm,bathrooms,bedrooms,description,listing_id,location,on_show,price,property_type,special_tag,url,crime_index,gautrain_km
,131.0,,3.0,,,Eagle Canyon Golf Estate,,1895000.0,3 Bedroom Townhouse,,,3.0,13.84
,240.0,,3.0,,,Eagle Canyon Golf Estate,,4500000.0,3 Bedroom Townhouse,,,3.0,13.84
,41.0,,1.0,,,Wilro Park,,520000.0,1 Bedroom Apartment,,,3.0,13.84
,122.0,,3.0,,,Radiokop,,1155000.0,3 Bedroom Townhouse,,,3.0,12.01
,114.0,,3.0,,,Honeydew Manor,,1250000.0,3 Bedroom Townhouse,,,3.0,13.84
,929.0,,4.0,,,Discovery,,1799990.0,4 Bedroom House,,,4.0,12.35
,72.0,,2.0,,,Wilgeheuwel,,950000.0,2 Bedroom Townhouse,,,3.0,13.84
,93.0,,3.0,,,Honeypark,,855000.0,3 Bedroom Townhouse,,,3.0,13.84
,12.0,,4.0,,,Weltevreden Park,,2295000.0,4 Bedroom House,,,3.0,9.07
,464.0,,3.0,,,Strubensvallei,,2500000.0,3 Bedroom Townhouse,,,3.0,13.84
,141.0,,3.0,,,Little Falls,,1150000.0,3 Bedroom Townhouse,,,4.0,12.77
,575.0,,3.0,,,Weltevreden Park,,1699000.0,3 Bedroom Townhouse,,,3.0,9.07
,966.0,,3.0,,,Witpoortjie,,1500000.0,3 Bedroom House,,,3.0,13.84
,900.0,,2.0,,,Horison,,520000.0,2 Bedroom Apartment,,,3.0,13.84
,852.0,,4.0,,,Weltevreden Park,,1999000.0,4 Bedroom House,,,3.0,9.07
,77.0,,1.0,,,Florida,,450000.0,1 Bedroom Apartment,,,6.0,14.56
,596.0,,4.0,,,Groblerpark,,1249000.0,4 Bedroom House,,,3.0,13.84
,152.0,,4.0,,,Ruimsig Country Estate,,2495000.0,4 Bedroom House,,,3.0,13.84
,658.0,,5.0,,,Helderkruin,,2789000.0,5 Bedroom House,,,3.0,14.75
,64.0,,2.0,,,Wilgeheuwel,,895000.0,2 Bedroom Townhouse,,,3.0,13.84
,92.0,,4.0,,,Wilro Park,,2775000.0,4 Bedroom House,,,3.0,13.84
,226.0,,3.0,,,Honeydew Manor,,1995000.0,3 Bedroom Townhouse,,,3.0,13.84
,500.0,,,,,Stormill,,2600000.0,Industrial Property,,,3.0,13.84
,82.0,,2.0,,,Witpoortjie,,620000.0,2 Bedroom Apartment,,,3.0,13.84
,539.0,,5.0,,,Constantia Kloof,,3250000.0,5 Bedroom House,,,3.0,13.92
,176.0,,2.0,,,Weltevreden Park,,2350000.0,2 Bedroom Townhouse,,,3.0,9.07
,300.0,,3.0,,,Ruimsig Country Estate,,1499000.0,3 Bedroom Townhouse,,,3.0,13.84
,810.0,,3.0,,,Lindhaven,,899000.0,3 Bedroom House,,,3.0,13.84
,79.0,,2.0,,,Wilro Park,,560000.0,2 Bedroom Apartment,,,3.0,13.84
,63.0,2.0,4.0,,,Weltevreden Park,,1445000.0,4 Bedroom Townhouse,,,3.0,9.07
,980.0,,4.0,,,Eagle Canyon Golf Estate,,5500000.0,4 Bedroom House,,,3.0,13.84
